genus+species,count
Pigmentiphaga Daeguensis,2
Tsukamurella Paurometabola,2
Haemophilus Pittmaniae,2
Actinomyces Radicidentis,2
Bacillus Halosaccharovorans,2
Bacillus Vallismortis,2
Janibacter Indicus,2
Afipia Broomeae,2
Gleimia Hominis,2
Neosartorya Fischeri,2
Brevibacterium Pityocampae,2
Pauljensenia Hongkongensis,2
Pantoea Ananatis,2
Paenibacillus Odorifer,2
Facklamia Languida,2
Methylobacterium Sp,2
Arthrobacter Cumminsii,2
Chryseobacterium Oranimense,2
Pandoraea Apista,2
Serratia Plymuthica,2
Chryseobacterium Hominis,2
Campylobacter Lari,2
Helcococcus Sueciensis,2
Penicillium Citrinum,2
Brevibacillus Borstelensis,2
Legionella Longbeachae,2
Psychrobacter Sanguinis,2
Paracoccus Yeei,2
Kazachstania Exigua,2
Brevibacterium Otitidis,2
Penicillium Olsonii,2
Pseudarthrobacter Oxydans,2
Gleimia Europaea,2
Bacillus Idriensis,2
Lysinibacillus Sphaericus,2
Terrisporobacter Glycolicus,2
Aspergillus Nomius,2
Rhizopus Microsporus,2
Acinetobacter Proteolyticus,2
Capnocytophaga Granulosa,2
Catenibacterium Mitsuokai,2
Corynebacterium Provencense,2
Fusarium Keratoplasticum,2
Rothia Amarae,2
Hanseniaspora Valbyensis,2
Kodamaea Ohmeri,2
Metschnikowia Pulcherrima,2
Sphingobium Yanoikuyae,2
Candida Lactiscondensi,2
Cladosporium Herbarum,2
Plectosphaerella Cucumerina,2
Leuconostoc Pseudomesenteroides,2
Exiguobacterium Aurantiacum,2
Kocuria Salsicia,2
Bifidobacterium Adolescentis,2
Dermacoccus Sp,2
Trichophyton Concentricum,2
Streptomyces Albus,2
Streptococcus Pseudoporcinus,2
Porphyromonas Sp,2
Exiguobacterium Sp,2
Candida Haemulonii,2
Peptoniphilus Asaccharolyticus,2
Eubacterium Yurii,2
Penicillium Oxalicum,2
Bacillus Altitudinis,2
Fusarium Proliferatum,2
Bacillus Horneckiae,2
Bacteroides Finegoldii,2
Burkholderia Vietnamiensis,2
Empedobacter Falsenii,2
Metakosakonia Massiliensis,2
Lysinibacillus Fusiformis,2
Microbacterium Testaceum,2
Yersinia Aleksiciae,2
Cupriavidus Metallidurans,2
Clostridium Subterminale,2
Mycobacterium Marseillense,2
Prevotella Buccalis,2
Hungatella Hathewayi,2
Clostridium Hathewayi,2
Neosartorya Hiratsukae,2
Corynebacterium Singulare,2
Providencia Vermicola,3
Microbacterium Lacticum,3
Clostridium Aldenense,3
Campylobacter Curvus,3
Nocardia Farcinica,3
Kazachstania Telluris,3
Eubacterium Tenue,3
Bacillus Thermoamylovorans,3
Aeromonas Enteropelogenes,3
Paenibacillus Pasadenensis,3
Sphingobacterium Daejeonense,3
Paenibacillus Humicus,3
Enterococcus Cecorum,3
Rothia Koreensis,3
Providencia Rustigianii,3
Nocardia Cyriacigeorgica,3
Mycobacterium Interjectum,3
Prevotella Copri,3
Prevotella Histicola,3
Coprobacillus Cateniformis,3
Pseudomonas Libanensis,3
Streptomyces Thermoviolaceus,3
Lodderomyces Elongisporus,3
Pichia Fermentans,3
Carnobacterium Maltaromaticum,3
Acinetobacter Vivianii,3
Tsukamurella Tyrosinosolvens,3
Streptococcus Equi,3
Mycobacterium Septicum,3
Trichoderma Sp,3
Trichoderma Hamatum,3
Ralstonia Insidiosa,3
Gordonia Sputi,3
Leptotrichia Hofstadii,3
Anaerococcus Octavius,3
Anaerococcus Nagyae,3
Pseudomonas Veronii,3
Pseudomonas Alcaligenes,3
Actinotignum Sanguinis,3
Porphyromonas Pasteri,3
Rhizopus Oryzae,3
Achromobacter Sp,3
Prevotella Maculosa,3
Prevotella Multiformis,3
Staphylococcus Equorum,3
Psychrobacillus Psychrodurans,3
Aspergillus Tamarii,3
Burkholderia Cenocepacia,3
Shewanella Algae,3
Providencia Heimbachae,3
Helicobacter Canis,3
Macrococcus Caseolyticus,3
Yarrowia Galli,3
Hamigera Species,3
Acinetobacter Seifertii,3
Stenotrophomonas Acidaminiphila,3
Staphylococcus Intermedius,3
Bacteroides Coprocola,3
Exophiala Oligoesperma,3
Lactobacillus Ruminis,3
Corynebacterium Sundsvallense,3
Cladosporium Species,3
Sphingomonas Panni,3
Phoma Species,3
Neisseria Mucosa,3
Kazachstania Unispora,3
Lactobacillus Amylovorus,3
Veillonella Dispar,3
Fusobacterium Mortiferum,3
Curtobacterium Flaccumfaciens,3
Acinetobacter Haemolyticus,3
Staphylococcus Succinus,3
Peptoniphilus Ivorii,3
Lactobacillus Coleohominis,3
Capnocytophaga Leadbetteri,3
Odoribacter Splanchnicus,3
Mycobacterium Malmoense,3
Aeromonas Jandaei,3
Escherichia Vulneris,4
Trueperella Pyogenes,4
Arthrobacter Woluwensis,4
Enterococcus Pallens,4
Verrucomicrobium Spinosum,4
Butyricimonas Virosa,4
Atopobium Deltae,4
Corynebacterium Durum,4
Franconibacter Pulveris,4
Megasphaera Micronuciformis,4
Pasteurella Dagmatis,4
Trichophyton Benhamiae,4
Mycobacterium Xenopi,4
Neisseria Oralis,4
Paenibacillus Timonensis,4
Trichosporon Coremiiforme,4
Pantoea Anthophila,4
Wickerhamomyces Anomalus,4
Mycobacterium Smegmatis,4
Trichophyton Tonsurans,4
Pseudopropionibacterium Propionicum,4
Torulaspora Delbrueckii,4
Mucor Circinelloides,4
Staphylococcus Felis,4
Nocardia Veterana,4
Parabacteroides Johnsonii,4
Paenibacillus Glucanolyticus,4
Acinetobacter Beijerinckii,4
Paenibacillus Lactis,4
Pseudomonas Taetrolens,4
Elizabethkingia Anophelis,4
Brevundimonas Aurantiaca,4
Acinetobacter Soli,4
Microbacterium Aurum,4
Hanseniaspora Opuntiae,4
Gordonia Bronchialis,4
Pseudomonas Fluorescens,4
Pandoraea Sputorum,4
Citrobacter Youngae,4
Bacillus Clausii,4
Pichia Manshurica,4
Prevotella Dentalis,4
Fusobacterium Varium,4
Cunninghamella Bertholletiae,4
Penicillium Chrysogenum,4
Scedosporium Prolificans,4
Trichoderma Orientale,5
Staphylococcus Piscifermentans,5
Cyberlindnera Jadinii,5
Kocuria Koreensis,5
Clostridium Limosum,5
Comamonas Aquatica,5
Peptoniphilus Koenoeneniae,5
Weissella Viridescens,5
Corynebacterium Resistens,5
Vagococcus Fluvialis,5
Vibrio Alginolyticus,5
Pandoraea Norimbergensis,5
Myroides Odoratimimus,5
Olsenella Phocaeensis,5
Vibrio Parahaemolyticus,5
Arthrographis Kalrae,5
Dysgonomonas Capnocytophagoides,5
Atopobium Minutum,5
Alistipes Shahii,5
Campylobacter Concisus,5
Streptococcus Equinus,5
Vibrio Fluvialis,5
Gordonia Otitidis,5
Propionibacterium Granulosum,5
Pseudomonas Extremorientalis,5
Bordetella Trematum,5
Serratia Proteamaculans,5
Wohlfahrtiimonas Chitiniclastica,5
Rothia Terrae,5
Clostridium Baratii,5
Fusarium Solani,5
Kingella Kingae,5
Sphingomonas Adhaesiva,5
Porphyromonas Gingivalis,5
Bifidobacterium Scardovii,6
Filifactor Alocis,6
Pseudomonas Luteola,6
Prevotella Pallens,6
Peptoniphilus Olsenii,6
Clostridium Scindens,6
Myroides Odoratus,6
Neisseria Flavescens,6
Pseudomonas Lundensis,6
Clostridium Symbiosum,6
Bacteroides Massiliensis,6
Actinomyces Funkei,6
Pseudomonas Mosselii,6
Pichia Cactophila,6
Yersinia Pseudotuberculosis,6
Candida Auris,6
Candida Zeylanoides,6
Brevibacterium Luteolum,6
Bacillus Amyloliquefaciens,6
Cryptococcus Magnus,6
Trichosporon Mucoides,6
Aerococcus Christensenii,6
Veillonella Montpellierensis,6
Yersinia Frederiksenii,6
Leuconostoc Citreum,6
Trichosporon Ovoides,6
Aspergillus Ustus,6
Mycobacterium Branderi,6
Filobasidium Uniguttulatum,6
Fusobacterium Canifelinum,6
Stenotrophomonas Rhizophila,6
Veillonella Ratti,6
Clostridium Cadaveris,6
Bacteroides Intestinalis,6
Cronobacter Sakazakii,6
Kluyveromyces Lactis,6
Nocardia Wallacei,6
Actinomyces Meyeri,6
Yarrowia Deformans,6
Achromobacter Spanius,6
Olegusella Massiliensis,6
Lactobacillus Casei,6
Mycobacterium Llatzerense,6
Fusarium Oxysporum,7
Achromobacter Denitrificans,7
Mycobacterium Paragordonae,7
Pseudomonas Fulva,7
Corynebacterium Confusum,7
Lactobacillus Sakei,7
Lactobacillus Pentosus,7
Prevotella Sp,7
Bacillus Flexus,7
Campylobacter Upsaliensis,7
Psychrobacter Sp,7
Neisseria Bacilliformis,7
Enterococcus Devriesei,7
Serratia Fonticola,7
Diutina Rugosa,7
Bacillus Infantis,7
Dialister Micraerophilus,7
Atopobium Sp,7
Raoultella Terrigena,7
Geotrichum Silvicola,7
Cutaneotrichosporon Mucoides,7
Streptococcus Cristatus,7
Pichia Norvegensis,7
Aureobasidium Pullulans,7
Peptoniphilus Duerdenii,7
Bulleidia Extructa,7
Acidovorax Delafieldii,7
Bifidobacterium Bifidum,7
Pantoea Sp,7
Kluyvera Cryocrescens,7
Enterobacter Hormaechei,8
Pantoea Dispersa,8
Lactobacillus Murinus,8
Acinetobacter Calcoaceticus,8
Microbacterium Paraoxydans,8
Penicillium Digitatum,8
Edwardsiella Tarda,8
Rhodococcus Hoagii,8
Negativicoccus Succinicivorans,8
Pseudomonas Japonica,8
Leuconostoc Mesenteroides,8
Parabacteroides Goldsteinii,8
Bacteroides Coagulans,8
Emericella Nidulans,8
Lactobacillus Saerimneri,8
Moryella Indoligenes,8
Lactobacillus Brevis,8
Rhodococcus Erythropolis,8
Weissella Cibaria,8
Haemophilus Sputorum,8
Corynebacterium Pyruviciproducens,8
Purpureocillium Lilacinum,8
Ewingella Americana,8
Enterobacter Cancerogenus,8
Kocuria Sp,8
Prevotella Jejuni,8
Acinetobacter Baylyi,9
Prevotella Amnii,9
Kerstersia Gyiorum,9
Staphylococcus Argenteus,9
Aspergillus Alliaceus,9
Rhizopus Arrhizus,9
Gemella Sanguinis,9
Mixta Calida,9
Candida Inconspicua,9
Leptotrichia Trevisanii,9
Mycobacterium Rhodesiae,9
Campylobacter Gracilis,9
Cronobacter Sp,9
Citrobacter Gillenii,9
Fusobacterium Sp,9
Achromobacter Insolitus,9
Bacteroides Eggerthii,9
Mogibacterium Timidum,9
Lachnoanaerobaculum Orale,9
Neisseria Elongata,9
Granulicatella Elegans,9
Eubacterium Limosum,10
Pseudomonas Fragi,10
Mycoplasma Salivarium,10
Pediococcus Acidilactici,10
Corynebacterium Phoceense,10
Stenotrophomonas Sp,10
Brevibacterium Paucivorans,10
Varibaculum Cambriense,10
Trichosporon Japonicum,10
Propionibacterium Avidum,10
Aspergillus Versicolor,10
Mycobacterium Kansasii,10
Microsporum Canis,10
Pseudomonas Tolaasii,10
Mycobacterium Mucogenicum,10
Actinomyces Naeslundii,10
Trichophyton Interdigitale,10
Alloprevotella Rava,10
Prevotella Loescheii,10
Sutterella Wadsworthensis,10
Kocuria Palustris,11
Prevotella Nanceiensis,11
Nocardia Abscessus,11
Enterococcus Malodoratus,11
Moraxella Sp,11
Eubacterium Brachy,11
Comamonas Kerstersii,11
Alistipes Finegoldii,11
Micrococcus Sp,11
Parabacteroides Merdae,11
Sphingobacterium Multivorum,11
Naganishia Diffluens,11
Anaerococcus Prevotii,11
Campylobacter Rectus,11
Corynebacterium Sp,11
Collinsella Aerofaciens,11
Wautersiella Falsenii,11
Mycobacterium Tuberculosis,11
Burkholderia Multivorans,11
Porphyromonas Uenonis,11
Pediococcus Pentosaceus,11
Candida Rugosa,11
Streptococcus Alactolyticus,11
Neisseria Lactamica,11
Alternaria Alternata,11
Neosartorya Udagawae,11
Lautropia Mirabilis,12
Fannyhessea Vaginae,12
Neisseria Cinerea,12
Bacteroides Stercoris,12
Aggregatibacter Aphrophilus,12
Aeromonas Caviae,12
Pseudomonas Mendocina,12
Geotrichum Candidum,12
Trichosporon Inkin,12
Pasteurella Canis,12
Chaetomium Globosum,12
Kocuria Kristinae,12
Legionella Pneumophila,12
Campylobacter Fetus,12
Cyberlindnera Fabianii,12
Enterococcus Durans,12
Candida Famata,12
Weissella Confusa,12
Prevotella Corporis,13
Serratia Odorifera,13
Corynebacterium Diphtheriae,13
Acinetobacter Lactucae,13
Acinetobacter Dijkshoorniae,13
Fusobacterium Periodonticum,13
Lancefieldella Rimae,13
Prevotella Salivae,13
Propionimicrobium Lymphophilum,13
Prevotella Bergensis,13
Scedosporium Apiospermum,13
Ochrobactrum Intermedium,13
Actinomyces Graevenitzii,13
Murdochiella Asaccharolytica,14
Bacillus Licheniformis,14
Peptoniphilus Grossensis,14
Listeria Innocua,14
Mycobacterium Chelonae,14
Cellulosimicrobium Cellulans,14
Anaerococcus Hydrogenalis,14
Bifidobacterium Dentium,14
Bacteroides Cellulosilyticus,14
Globicatella Sanguinis,14
Comamonas Testosteroni,14
Micrococcus Lylae,14
Acinetobacter Junii,14
Arcobacter Butzleri,15
Leuconostoc Lactis,15
Streptococcus Canis,15
Pseudescherichia Vulneris,15
Histoplasma Capsulatum,15
Penicillium Sp,15
Cutibacterium Granulosum,15
Clostridium Sporogenes,15
Lactobacillus Johnsonii,15
Enterococcus Gilvus,15
Corynebacterium Tuscaniense,15
Bacteroides Salyersiae,15
Capnocytophaga Gingivalis,15
Acinetobacter Radioresistens,15
Corynebacterium Mastitidis,16
Actinomyces Timonensis,16
Fusobacterium Gonidiaformans,16
Dolosigranulum Pigrum,16
Prevotella Timonensis,16
Staphylococcus Sp,16
Moraxella Atlantae,16
Mycobacterium Brisbanense,16
Actinobaculum Massiliense,16
Peptoniphilus Gorbachii,16
Campylobacter Ureolyticus,16
Kytococcus Schroeteri,16
Staphylococcus Pseudintermedius,17
Ochrobactrum Anthropi,17
Debaryomyces Hansenii,17
Pichia Kluyveri,17
Lelliottia Amnigena,17
Mycobacterium Gordonae,17
Lactobacillus Mucosae,17
Wickerhamiella Pararugosa,17
Alistipes Onderdonkii,17
Prevotella Oralis,17
Kluyvera Georgiana,17
Corynebacterium Kroppenstedtii,17
Metamycoplasma Hominis,18
Streptococcus Pseudopneumoniae,18
Magnusiomyces Capitatus,18
Pseudomonas Guariconensis,18
Acinetobacter Lwoffii,18
Cryptococcus Diffluens,18
Geotrichum Capitatum,18
Porphyromonas Asaccharolytica,18
Hanseniaspora Uvarum,18
Escherichia Hermannii,18
Atopobium Vaginae,19
Cupriavidus Pauculus,19
Ruminococcus Gnavus,19
Kocuria Marina,19
Aspergillus Citrinoterreus,19
Clostridium Septicum,19
Bordetella Bronchiseptica,19
Brevibacterium Casei,19
Mycoplasma Hominis,20
Raoultella Planticola,20
Bacteroides Pyogenes,20
Ralstonia Pickettii,20
Bacteroides Faecis,20
Plesiomonas Shigelloides,20
Candida Bracarensis,20
Flavonifractor Plautii,20
Nosocomiicoccus Massiliensis,20
Roseomonas Mucosa,20
Brevundimonas Diminuta,20
Kluyvera Intermedia,21
Eggerthia Catenaformis,21
Capnocytophaga Sp,21
Delftia Acidovorans,21
Aspergillus Lentulus,21
Anaerococcus Lactolyticus,21
Clostridium Clostridioforme,21
Clostridium Tertium,22
Providencia Alcalifaciens,22
Peptococcus Niger,22
Atopobium Rimae,22
Bacillus Subtilis,22
Burkholderia Gladioli,22
Acidaminococcus Intestini,22
Facklamia Hominis,22
Pseudomonas Nitroreducens,22
Alloiococcus Otitis,23
Alloscardovia Omnicolens,23
Corynebacterium Freneyi,23
Proteus Penneri,23
Staphylococcus Sciuri,23
Cryptococcus Neoformans,23
Bacillus Simplex,23
Aliarcobacter Butzleri,23
Haemophilus Parahaemolyticus,23
Actinomyces Radingae,24
Lactobacillus Vaginalis,24
Corynebacterium Glucuronolyticum,24
Corynebacterium Bovis,25
Anaerococcus Tetradius,26
Staphylococcus Xylosus,26
Chryseobacterium Gleum,26
Bacillus Megaterium,26
Enterococcus Mundtii,26
Pseudomonas Otitidis,26
Enterobacter Kobei,27
Streptococcus Mutans,27
Staphylococcus Petrasii,27
Streptococcus Massiliensis,27
Anaerococcus Sp,27
Corynebacterium Minutissimum,28
Rhizobium Radiobacter,28
Acinetobacter Guillouiae,28
Clostridium Paraputrificum,28
Peptostreptococcus Stomatis,28
Aspergillus Sydowii,28
Rhodotorula Mucilaginosa,28
Candida Pararugosa,29
Enterobacter Asburiae,29
Olsenella Uli,30
Bacillus Circulans,30
Arcanobacterium Haemolyticum,30
Acinetobacter Johnsonii,30
Moraxella Lacunata,31
Rothia Aeria,31
Pseudomonas Sp,31
Rahnella Aquatilis,31
Capnocytophaga Ochracea,32
Citrobacter Sedlakii,32
Bifidobacterium Longum,32
Pluralibacter Gergoviae,33
Lactococcus Garvieae,33
Chryseobacterium Arthrosphaerae,34
Candida Metapsilosis,35
Staphylococcus Cohnii,35
Peptoniphilus Indolicus,35
Prevotella Disiens,36
Trichophyton Rubrum,36
Acinetobacter Nosocomialis,36
Lancefieldella Parvula,36
Candida Intermedia,36
Helcococcus Kunzii,37
Actinomyces Urogenitalis,37
Serratia Rubidaea,37
Aggregatibacter Segnis,38
Bilophila Wadsworthia,39
Pantoea Eucrina,40
Mycobacterium Lentiflavum,40
Peptoniphilus Lacrimalis,41
Lactobacillus Salivarius,41
Prevotella Oris,41
Abiotrophia Defectiva,41
Actinotignum Schaalii,41
Mycobacterium Fortuitum,41
Corynebacterium Riegelii,42
Dialister Pneumosintes,42
Bacteroides Caccae,42
Weeksella Virosa,43
Helicobacter Pullorum,43
Neisseria Macacae,43
Prevotella Heparinolytica,44
Pasteurella Multocida,44
Cutibacterium Avidum,45
Aspergillus Niger,45
Sphingomonas Paucimobilis,46
Clostridium Ramosum,46
Actinomyces Europaeus,46
Lactobacillus Reuteri,46
Prevotella Baroniae,47
Gemella Haemolysans,47
Corynebacterium Mucifaciens,47
Moraxella Nonliquefaciens,47
Veillonella Atypica,47
Helicobacter Pylori,47
Acinetobacter Bereziniae,48
Pseudomonas Monteilii,48
Corynebacterium Argentoratense,49
Haemophilus Haemolyticus,49
Propionibacterium Sp,50
Peptoniphilus Coxii,50
Lactobacillus Delbrueckii,50
Staphylococcus Saccharolyticus,51
Candida Kefyr,51
Brevibacterium Ravenspurgense,52
Atopobium Parvulum,52
Bacillus Pumilus,53
Clostridium Difficile,53
Bifidobacterium Breve,54
Candida Orthopsilosis,54
Leclercia Adecarboxylata,54
Prevotella Nigrescens,55
Kluyveromyces Marxianus,56
Porphyromonas Somerae,57
Aerococcus Viridans,57
Aeromonas Veronii,58
Trueperella Bernardiae,58
Anaerococcus Murdochii,59
Pseudomonas Stutzeri,59
Mycobacterium Mageritense,59
Streptococcus Lutetiensis,59
Kingella Denitrificans,60
Mycobacterium Abscessus,60
Kocuria Rhizophila,60
Lactobacillus Fermentum,61
Staphylococcus Auricularis,62
Prevotella Melaninogenica,62
Aeromonas Hydrophila,62
Clostridium Innocuum,64
Lactobacillus Iners,65
Staphylococcus Schleiferi,65
Corynebacterium Macginleyi,66
Aspergillus Nidulans,67
Yarrowia Lipolytica,67
Corynebacterium Lipophile,67
Solobacterium Moorei,68
Pseudomonas Oryzihabitans,68
Lactobacillus Plantarum,68
Pantoea Agglomerans,68
Moraxella Osloensis,69
Aspergillus Flavus,70
Meyerozyma Guilliermondii,70
Turicella Otitidis,70
Listeria Monocytogenes,70
Dermacoccus Nishinomiyaensis,71
Actinomyces Oris,71
Actinomyces Turicensis,71
Gemella Morbillorum,72
Trichosporon Asahii,72
Actinomyces Neuii,73
Citrobacter Braakii,75
Mycobacterium Chimaera,76
Pseudomonas Koreensis,77
Prevotella Denticola,78
Corynebacterium Imitans,78
Enterococcus Hirae,78
Corynebacterium Afermentans,79
Peptostreptococcus Anaerobius,80
Streptococcus Sanguinis,82
Streptococcus Gordonii,82
Alcaligenes Faecalis,82
Oligella Urethralis,83
Corynebacterium Jeikeium,83
Pseudomonas Citronellolis,84
Rothia Dentocariosa,84
Enterococcus Casseliflavus,84
Peptoniphilus Harei,87
Prevotella Buccae,89
Pantoea Septica,91
Granulicatella Adiacens,92
Bacteroides Uniformis,92
Parabacteroides Distasonis,94
Aspergillus Terreus,95
Corynebacterium Simulans,98
Citrobacter Farmeri,103
