Antibiotic,n_neighbors,min_dist,metric,threshold,silhouette_score,file_name
Amp/Sulbactam Interpretación,2,0.5,manhattan,0.1,-0.02544594,umap_Amp_Sulbactam_Interpretación_n2_dist0.5_metricmanhattan_thresh0.1.png
Amp/Sulbactam Interpretación,5,0.1,euclidean,0.1,-0.017733673,umap_Amp_Sulbactam_Interpretación_n5_dist0.1_metriceuclidean_thresh0.1.png
Amp/Sulbactam Interpretación,5,0.1,manhattan,0.1,0.006193768,umap_Amp_Sulbactam_Interpretación_n5_dist0.1_metricmanhattan_thresh0.1.png
Amp/Sulbactam Interpretación,5,0.3,euclidean,0.1,-0.02114151,umap_Amp_Sulbactam_Interpretación_n5_dist0.3_metriceuclidean_thresh0.1.png
Amp/Sulbactam Interpretación,5,0.3,manhattan,0.1,0.0010640484,umap_Amp_Sulbactam_Interpretación_n5_dist0.3_metricmanhattan_thresh0.1.png
Amp/Sulbactam Interpretación,5,0.5,euclidean,0.1,-0.019596316,umap_Amp_Sulbactam_Interpretación_n5_dist0.5_metriceuclidean_thresh0.1.png
Amp/Sulbactam Interpretación,5,0.5,manhattan,0.1,-0.0010713164,umap_Amp_Sulbactam_Interpretación_n5_dist0.5_metricmanhattan_thresh0.1.png
Amp/Sulbactam Interpretación,10,0.1,euclidean,0.1,-0.005280437,umap_Amp_Sulbactam_Interpretación_n10_dist0.1_metriceuclidean_thresh0.1.png
Amp/Sulbactam Interpretación,10,0.1,manhattan,0.1,-0.00015713526,umap_Amp_Sulbactam_Interpretación_n10_dist0.1_metricmanhattan_thresh0.1.png
Amp/Sulbactam Interpretación,10,0.3,euclidean,0.1,-0.014730783,umap_Amp_Sulbactam_Interpretación_n10_dist0.3_metriceuclidean_thresh0.1.png
Amp/Sulbactam Interpretación,10,0.3,manhattan,0.1,0.014980358,umap_Amp_Sulbactam_Interpretación_n10_dist0.3_metricmanhattan_thresh0.1.png
Amp/Sulbactam Interpretación,10,0.5,euclidean,0.1,-0.018532787,umap_Amp_Sulbactam_Interpretación_n10_dist0.5_metriceuclidean_thresh0.1.png
Amp/Sulbactam Interpretación,10,0.5,manhattan,0.1,0.007785424,umap_Amp_Sulbactam_Interpretación_n10_dist0.5_metricmanhattan_thresh0.1.png
Amp/Sulbactam Interpretación,15,0.1,euclidean,0.1,-0.0023335798,umap_Amp_Sulbactam_Interpretación_n15_dist0.1_metriceuclidean_thresh0.1.png
Amp/Sulbactam Interpretación,15,0.1,manhattan,0.1,0.007116518,umap_Amp_Sulbactam_Interpretación_n15_dist0.1_metricmanhattan_thresh0.1.png
Amp/Sulbactam Interpretación,15,0.3,euclidean,0.1,-0.011436103,umap_Amp_Sulbactam_Interpretación_n15_dist0.3_metriceuclidean_thresh0.1.png
Amp/Sulbactam Interpretación,15,0.3,manhattan,0.1,-0.0032219202,umap_Amp_Sulbactam_Interpretación_n15_dist0.3_metricmanhattan_thresh0.1.png
Amp/Sulbactam Interpretación,15,0.5,euclidean,0.1,-0.018376367,umap_Amp_Sulbactam_Interpretación_n15_dist0.5_metriceuclidean_thresh0.1.png
Amp/Sulbactam Interpretación,15,0.5,manhattan,0.1,-0.00860589,umap_Amp_Sulbactam_Interpretación_n15_dist0.5_metricmanhattan_thresh0.1.png
Amp/Sulbactam Interpretación,30,0.1,euclidean,0.1,-0.0024502652,umap_Amp_Sulbactam_Interpretación_n30_dist0.1_metriceuclidean_thresh0.1.png
Amp/Sulbactam Interpretación,30,0.1,manhattan,0.1,0.008998295,umap_Amp_Sulbactam_Interpretación_n30_dist0.1_metricmanhattan_thresh0.1.png
Amp/Sulbactam Interpretación,30,0.3,euclidean,0.1,-0.013437689,umap_Amp_Sulbactam_Interpretación_n30_dist0.3_metriceuclidean_thresh0.1.png
Amp/Sulbactam Interpretación,30,0.3,manhattan,0.1,-0.004743781,umap_Amp_Sulbactam_Interpretación_n30_dist0.3_metricmanhattan_thresh0.1.png
Amp/Sulbactam Interpretación,30,0.5,euclidean,0.1,-0.017354775,umap_Amp_Sulbactam_Interpretación_n30_dist0.5_metriceuclidean_thresh0.1.png
Amp/Sulbactam Interpretación,30,0.5,manhattan,0.1,-0.010266093,umap_Amp_Sulbactam_Interpretación_n30_dist0.5_metricmanhattan_thresh0.1.png
Amp/Sulbactam Interpretación,45,0.1,euclidean,0.1,-0.0014619507,umap_Amp_Sulbactam_Interpretación_n45_dist0.1_metriceuclidean_thresh0.1.png
Amp/Sulbactam Interpretación,45,0.1,manhattan,0.1,0.008327311,umap_Amp_Sulbactam_Interpretación_n45_dist0.1_metricmanhattan_thresh0.1.png
Amp/Sulbactam Interpretación,45,0.3,euclidean,0.1,-0.012421033,umap_Amp_Sulbactam_Interpretación_n45_dist0.3_metriceuclidean_thresh0.1.png
Amp/Sulbactam Interpretación,45,0.3,manhattan,0.1,-0.0035682737,umap_Amp_Sulbactam_Interpretación_n45_dist0.3_metricmanhattan_thresh0.1.png
Amp/Sulbactam Interpretación,45,0.5,euclidean,0.1,-0.019877927,umap_Amp_Sulbactam_Interpretación_n45_dist0.5_metriceuclidean_thresh0.1.png
Amp/Sulbactam Interpretación,45,0.5,manhattan,0.1,-0.012289559,umap_Amp_Sulbactam_Interpretación_n45_dist0.5_metricmanhattan_thresh0.1.png
Amp/Sulbactam Interpretación,2,0.1,euclidean,0.15,-0.010491148,umap_Amp_Sulbactam_Interpretación_n2_dist0.1_metriceuclidean_thresh0.15.png
Amp/Sulbactam Interpretación,2,0.1,manhattan,0.15,-0.014861096,umap_Amp_Sulbactam_Interpretación_n2_dist0.1_metricmanhattan_thresh0.15.png
Amp/Sulbactam Interpretación,2,0.3,euclidean,0.15,-0.024895985,umap_Amp_Sulbactam_Interpretación_n2_dist0.3_metriceuclidean_thresh0.15.png
Amp/Sulbactam Interpretación,2,0.3,manhattan,0.15,-0.019593049,umap_Amp_Sulbactam_Interpretación_n2_dist0.3_metricmanhattan_thresh0.15.png
Amp/Sulbactam Interpretación,2,0.5,euclidean,0.15,-0.012188456,umap_Amp_Sulbactam_Interpretación_n2_dist0.5_metriceuclidean_thresh0.15.png
Amp/Sulbactam Interpretación,2,0.5,manhattan,0.15,-0.014998572,umap_Amp_Sulbactam_Interpretación_n2_dist0.5_metricmanhattan_thresh0.15.png
Amp/Sulbactam Interpretación,5,0.1,euclidean,0.15,-0.011519092,umap_Amp_Sulbactam_Interpretación_n5_dist0.1_metriceuclidean_thresh0.15.png
Amp/Sulbactam Interpretación,5,0.1,manhattan,0.15,-0.010723967,umap_Amp_Sulbactam_Interpretación_n5_dist0.1_metricmanhattan_thresh0.15.png
Amp/Sulbactam Interpretación,5,0.3,euclidean,0.15,-0.009886595,umap_Amp_Sulbactam_Interpretación_n5_dist0.3_metriceuclidean_thresh0.15.png
Amp/Sulbactam Interpretación,5,0.3,manhattan,0.15,-0.013904717,umap_Amp_Sulbactam_Interpretación_n5_dist0.3_metricmanhattan_thresh0.15.png
Amp/Sulbactam Interpretación,5,0.5,euclidean,0.15,-0.00680458,umap_Amp_Sulbactam_Interpretación_n5_dist0.5_metriceuclidean_thresh0.15.png
Amp/Sulbactam Interpretación,5,0.5,manhattan,0.15,-0.012736553,umap_Amp_Sulbactam_Interpretación_n5_dist0.5_metricmanhattan_thresh0.15.png
Amp/Sulbactam Interpretación,10,0.1,euclidean,0.15,-0.019698864,umap_Amp_Sulbactam_Interpretación_n10_dist0.1_metriceuclidean_thresh0.15.png
Amp/Sulbactam Interpretación,10,0.1,manhattan,0.15,-0.019414054,umap_Amp_Sulbactam_Interpretación_n10_dist0.1_metricmanhattan_thresh0.15.png
Amp/Sulbactam Interpretación,10,0.3,euclidean,0.15,-0.015714848,umap_Amp_Sulbactam_Interpretación_n10_dist0.3_metriceuclidean_thresh0.15.png
Amp/Sulbactam Interpretación,10,0.3,manhattan,0.15,-0.010601189,umap_Amp_Sulbactam_Interpretación_n10_dist0.3_metricmanhattan_thresh0.15.png
Amp/Sulbactam Interpretación,10,0.5,euclidean,0.15,-0.013496267,umap_Amp_Sulbactam_Interpretación_n10_dist0.5_metriceuclidean_thresh0.15.png
Amp/Sulbactam Interpretación,10,0.5,manhattan,0.15,-0.005069415,umap_Amp_Sulbactam_Interpretación_n10_dist0.5_metricmanhattan_thresh0.15.png
Amp/Sulbactam Interpretación,15,0.1,euclidean,0.15,-0.02710474,umap_Amp_Sulbactam_Interpretación_n15_dist0.1_metriceuclidean_thresh0.15.png
Amp/Sulbactam Interpretación,15,0.1,manhattan,0.15,-0.023513163,umap_Amp_Sulbactam_Interpretación_n15_dist0.1_metricmanhattan_thresh0.15.png
Amp/Sulbactam Interpretación,15,0.3,euclidean,0.15,-0.019691434,umap_Amp_Sulbactam_Interpretación_n15_dist0.3_metriceuclidean_thresh0.15.png
Amp/Sulbactam Interpretación,15,0.3,manhattan,0.15,-0.020011485,umap_Amp_Sulbactam_Interpretación_n15_dist0.3_metricmanhattan_thresh0.15.png
Amp/Sulbactam Interpretación,15,0.5,euclidean,0.15,-0.01239477,umap_Amp_Sulbactam_Interpretación_n15_dist0.5_metriceuclidean_thresh0.15.png
Amp/Sulbactam Interpretación,15,0.5,manhattan,0.15,-0.011444164,umap_Amp_Sulbactam_Interpretación_n15_dist0.5_metricmanhattan_thresh0.15.png
Amp/Sulbactam Interpretación,30,0.1,euclidean,0.15,-0.033621784,umap_Amp_Sulbactam_Interpretación_n30_dist0.1_metriceuclidean_thresh0.15.png
Amp/Sulbactam Interpretación,30,0.1,manhattan,0.15,-0.030871384,umap_Amp_Sulbactam_Interpretación_n30_dist0.1_metricmanhattan_thresh0.15.png
Amp/Sulbactam Interpretación,30,0.3,euclidean,0.15,-0.021921247,umap_Amp_Sulbactam_Interpretación_n30_dist0.3_metriceuclidean_thresh0.15.png
Amp/Sulbactam Interpretación,30,0.3,manhattan,0.15,-0.019969514,umap_Amp_Sulbactam_Interpretación_n30_dist0.3_metricmanhattan_thresh0.15.png
Amp/Sulbactam Interpretación,30,0.5,euclidean,0.15,-0.016566824,umap_Amp_Sulbactam_Interpretación_n30_dist0.5_metriceuclidean_thresh0.15.png
Amp/Sulbactam Interpretación,30,0.5,manhattan,0.15,-0.010638507,umap_Amp_Sulbactam_Interpretación_n30_dist0.5_metricmanhattan_thresh0.15.png
Amp/Sulbactam Interpretación,45,0.1,euclidean,0.15,-0.03863269,umap_Amp_Sulbactam_Interpretación_n45_dist0.1_metriceuclidean_thresh0.15.png
Amp/Sulbactam Interpretación,45,0.1,manhattan,0.15,-0.03500703,umap_Amp_Sulbactam_Interpretación_n45_dist0.1_metricmanhattan_thresh0.15.png
Amp/Sulbactam Interpretación,45,0.3,euclidean,0.15,-0.026004506,umap_Amp_Sulbactam_Interpretación_n45_dist0.3_metriceuclidean_thresh0.15.png
Amp/Sulbactam Interpretación,45,0.3,manhattan,0.15,-0.02590637,umap_Amp_Sulbactam_Interpretación_n45_dist0.3_metricmanhattan_thresh0.15.png
Amp/Sulbactam Interpretación,45,0.5,euclidean,0.15,-0.018928979,umap_Amp_Sulbactam_Interpretación_n45_dist0.5_metriceuclidean_thresh0.15.png
Amp/Sulbactam Interpretación,45,0.5,manhattan,0.15,-0.011427267,umap_Amp_Sulbactam_Interpretación_n45_dist0.5_metricmanhattan_thresh0.15.png
Amp/Sulbactam Interpretación,2,0.1,euclidean,0.2,-0.016337102,umap_Amp_Sulbactam_Interpretación_n2_dist0.1_metriceuclidean_thresh0.2.png
Amp/Sulbactam Interpretación,2,0.1,manhattan,0.2,-0.006347605,umap_Amp_Sulbactam_Interpretación_n2_dist0.1_metricmanhattan_thresh0.2.png
Amp/Sulbactam Interpretación,2,0.3,euclidean,0.2,-0.006587678,umap_Amp_Sulbactam_Interpretación_n2_dist0.3_metriceuclidean_thresh0.2.png
Amp/Sulbactam Interpretación,2,0.3,manhattan,0.2,-0.010476367,umap_Amp_Sulbactam_Interpretación_n2_dist0.3_metricmanhattan_thresh0.2.png
Amp/Sulbactam Interpretación,2,0.5,euclidean,0.2,-0.0056335297,umap_Amp_Sulbactam_Interpretación_n2_dist0.5_metriceuclidean_thresh0.2.png
Amp/Sulbactam Interpretación,2,0.5,manhattan,0.2,-0.005960655,umap_Amp_Sulbactam_Interpretación_n2_dist0.5_metricmanhattan_thresh0.2.png
Amp/Sulbactam Interpretación,5,0.1,euclidean,0.2,-0.03658525,umap_Amp_Sulbactam_Interpretación_n5_dist0.1_metriceuclidean_thresh0.2.png
Amp/Sulbactam Interpretación,5,0.1,manhattan,0.2,-0.028440474,umap_Amp_Sulbactam_Interpretación_n5_dist0.1_metricmanhattan_thresh0.2.png
Amp/Sulbactam Interpretación,5,0.3,euclidean,0.2,-0.04065347,umap_Amp_Sulbactam_Interpretación_n5_dist0.3_metriceuclidean_thresh0.2.png
Amp/Sulbactam Interpretación,5,0.3,manhattan,0.2,-0.040771287,umap_Amp_Sulbactam_Interpretación_n5_dist0.3_metricmanhattan_thresh0.2.png
Amp/Sulbactam Interpretación,5,0.5,euclidean,0.2,-0.035899222,umap_Amp_Sulbactam_Interpretación_n5_dist0.5_metriceuclidean_thresh0.2.png
Amp/Sulbactam Interpretación,5,0.5,manhattan,0.2,-0.035632007,umap_Amp_Sulbactam_Interpretación_n5_dist0.5_metricmanhattan_thresh0.2.png
Amp/Sulbactam Interpretación,10,0.1,euclidean,0.2,-0.047194816,umap_Amp_Sulbactam_Interpretación_n10_dist0.1_metriceuclidean_thresh0.2.png
Amp/Sulbactam Interpretación,10,0.1,manhattan,0.2,-0.048190378,umap_Amp_Sulbactam_Interpretación_n10_dist0.1_metricmanhattan_thresh0.2.png
Amp/Sulbactam Interpretación,10,0.3,euclidean,0.2,-0.043456826,umap_Amp_Sulbactam_Interpretación_n10_dist0.3_metriceuclidean_thresh0.2.png
Amp/Sulbactam Interpretación,10,0.3,manhattan,0.2,-0.044218473,umap_Amp_Sulbactam_Interpretación_n10_dist0.3_metricmanhattan_thresh0.2.png
Amp/Sulbactam Interpretación,10,0.5,euclidean,0.2,-0.041925788,umap_Amp_Sulbactam_Interpretación_n10_dist0.5_metriceuclidean_thresh0.2.png
Amp/Sulbactam Interpretación,10,0.5,manhattan,0.2,-0.04282596,umap_Amp_Sulbactam_Interpretación_n10_dist0.5_metricmanhattan_thresh0.2.png
Amp/Sulbactam Interpretación,15,0.1,euclidean,0.2,-0.056138225,umap_Amp_Sulbactam_Interpretación_n15_dist0.1_metriceuclidean_thresh0.2.png
Amp/Sulbactam Interpretación,15,0.1,manhattan,0.2,-0.05438796,umap_Amp_Sulbactam_Interpretación_n15_dist0.1_metricmanhattan_thresh0.2.png
Amp/Sulbactam Interpretación,15,0.3,euclidean,0.2,-0.048580524,umap_Amp_Sulbactam_Interpretación_n15_dist0.3_metriceuclidean_thresh0.2.png
Amp/Sulbactam Interpretación,15,0.3,manhattan,0.2,-0.04804041,umap_Amp_Sulbactam_Interpretación_n15_dist0.3_metricmanhattan_thresh0.2.png
Amp/Sulbactam Interpretación,15,0.5,euclidean,0.2,-0.04419727,umap_Amp_Sulbactam_Interpretación_n15_dist0.5_metriceuclidean_thresh0.2.png
Amp/Sulbactam Interpretación,15,0.5,manhattan,0.2,-0.043508645,umap_Amp_Sulbactam_Interpretación_n15_dist0.5_metricmanhattan_thresh0.2.png
Amp/Sulbactam Interpretación,30,0.1,euclidean,0.2,-0.059649307,umap_Amp_Sulbactam_Interpretación_n30_dist0.1_metriceuclidean_thresh0.2.png
Amp/Sulbactam Interpretación,30,0.1,manhattan,0.2,-0.057562754,umap_Amp_Sulbactam_Interpretación_n30_dist0.1_metricmanhattan_thresh0.2.png
Amp/Sulbactam Interpretación,30,0.3,euclidean,0.2,-0.05030367,umap_Amp_Sulbactam_Interpretación_n30_dist0.3_metriceuclidean_thresh0.2.png
Amp/Sulbactam Interpretación,30,0.3,manhattan,0.2,-0.04981787,umap_Amp_Sulbactam_Interpretación_n30_dist0.3_metricmanhattan_thresh0.2.png
Amp/Sulbactam Interpretación,30,0.5,euclidean,0.2,-0.04592464,umap_Amp_Sulbactam_Interpretación_n30_dist0.5_metriceuclidean_thresh0.2.png
Amp/Sulbactam Interpretación,30,0.5,manhattan,0.2,-0.04627316,umap_Amp_Sulbactam_Interpretación_n30_dist0.5_metricmanhattan_thresh0.2.png
Amp/Sulbactam Interpretación,45,0.1,euclidean,0.2,-0.06166788,umap_Amp_Sulbactam_Interpretación_n45_dist0.1_metriceuclidean_thresh0.2.png
Amp/Sulbactam Interpretación,45,0.1,manhattan,0.2,-0.061473086,umap_Amp_Sulbactam_Interpretación_n45_dist0.1_metricmanhattan_thresh0.2.png
Amp/Sulbactam Interpretación,45,0.3,euclidean,0.2,-0.05130137,umap_Amp_Sulbactam_Interpretación_n45_dist0.3_metriceuclidean_thresh0.2.png
Amp/Sulbactam Interpretación,45,0.3,manhattan,0.2,-0.05357994,umap_Amp_Sulbactam_Interpretación_n45_dist0.3_metricmanhattan_thresh0.2.png
Amp/Sulbactam Interpretación,45,0.5,euclidean,0.2,-0.04868387,umap_Amp_Sulbactam_Interpretación_n45_dist0.5_metriceuclidean_thresh0.2.png
Amp/Sulbactam Interpretación,45,0.5,manhattan,0.2,-0.04888629,umap_Amp_Sulbactam_Interpretación_n45_dist0.5_metricmanhattan_thresh0.2.png
